Title;Release Year;Locations;Fun Facts;Production Company;Distributor;Director;Writer;Actor 1;Actor 2;Actor 3;lat;lag
40 Days and 40 Nights;2002;San Francisco CafÇ¸ Trieste (609 Vallejo);"Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in Caf‚ Trieste.";Miramax Films;Miramax Films;Michael Lehmann;Robert Perez;Josh Hartnett;Shaynnyn Sossamon;;37,7986623;-122,4073207
48 Hours;1982;San Francisco ;;Paramount Pictures;Paramount Pictures;Walter Hill;Walter Hill;Nick Nolte;Eddie Murphy;Annette O'Toole;37,7749295;-122,4194155
50 First Dates;2004;San Francisco Rainforest CafÇ¸ (145 Jefferson Street);;Columbia Pictures;Columbia Pictures;Peter Segal;George Wing;Adam Sandler;Drew Barrymore;;37,8080569;-122,4147065
A Jitney Elopement;1915;San Francisco 20th and Folsom Streets;;The Essanay Film Manufacturing Company;General Film Company;Charles Chaplin;Charles Chaplin;Charles Chaplin;Edna Purviance;;37,7589107;-122,4147198
A Jitney Elopement;1915;San Francisco Golden Gate Park;"During San Francisco's Gold Rush era, the Park was part of an area designated as the ""Great Sand Waste"". ";The Essanay Film Manufacturing Company;General Film Company;Charles Chaplin;Charles Chaplin;Charles Chaplin;Edna Purviance;;37,7694208;-122,4862138
A Night Full of Rain;1978;San Francisco Embarcadero Freeway;Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake);Liberty Film;Warner Bros. Pictures;Lina Wertmuller;Lina Wertmuller;Candice Bergen;Giancarlo Gianni;;37,7881524;-122,2512872
A Night Full of Rain;1978;San Francisco Fairmont Hotel (950 Mason Street, Nob Hill);In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.;Liberty Film;Warner Bros. Pictures;Lina Wertmuller;Lina Wertmuller;Candice Bergen;Giancarlo Gianni;;37,7923723;-122,4105611
A Night Full of Rain;1978;San Francisco San Francisco Chronicle (901 Mission Street at 15th Street);The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.;Liberty Film;Warner Bros. Pictures;Lina Wertmuller;Lina Wertmuller;Candice Bergen;Giancarlo Gianni;;37,7821582;-122,4065832
A Night Full of Rain;1978;San Francisco Broadway (North Beach);;Liberty Film;Warner Bros. Pictures;Lina Wertmuller;Lina Wertmuller;Candice Bergen;Giancarlo Gianni;;37,7984385;-122,4022479
A Smile Like Yours;1997;San Francisco 75 California Street;;Paramount Pictures;Paramount Pictures;Keith Samples;Keith Samples & Kevin Meyer;Greg Kinnear;Lauren Holly;;37,7932094;-122,3972563
A Smile Like Yours ;1997;San Francisco Grace Cathedral Episcopal Church (1100 California Street);Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.;Paramount Pictures;Paramount Pictures;Keith Samples;Keith Samples & Kevin Meyer;Greg Kinnear;Lauren Holly;;37,7918581;-122,4134328
A Smile Like Yours ;1997;San Francisco Hills Brothers Plaza (Embarcadero at Harrison Street);;Paramount Pictures;Paramount Pictures;Keith Samples;Keith Samples & Kevin Meyer;Greg Kinnear;Lauren Holly;;37,7893359;-122,3896545
A Smile Like Yours ;1997;San Francisco San Francisco International Airport;SFO has a museum dedicated to aviation history. ;Paramount Pictures;Paramount Pictures;Keith Samples;Keith Samples & Kevin Meyer;Greg Kinnear;Lauren Holly;;37,6213129;-122,3789554
A View to a Kill;1985;San Francisco City Hall;The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.;Metro-Goldwyn Mayer;MGM/UA Entertainment Company;John Glen;Richard Maibaum;Roger Moore;Christopher Walken;Tanya Roberts;37,7792597;-122,4192646
A View to a Kill;1985;San Francisco Port of San Francisco ;;Metro-Goldwyn Mayer;MGM/UA Entertainment Company;John Glen;Richard Maibaum;Roger Moore;Christopher Walken;Tanya Roberts;37,7968374;-122,3950767
Ant-Man;2015;San Francisco 420 Jones St. at Ellis St.;;PYM Particles Productions, LLC;Walt Disney Studios Motion Pictures;Peyton Reed;Gabriel Ferrari ;Michael Douglas;Paul Rudd;;37,784875;-122,4128063
A View to a Kill;1985;San Francisco Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin);"This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.";Metro-Goldwyn Mayer;MGM/UA Entertainment Company;John Glen;Richard Maibaum;Roger Moore;Christopher Walken;Tanya Roberts;37,7768127;-122,3902272
A View to a Kill;1985;San Francisco Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Metro-Goldwyn Mayer;MGM/UA Entertainment Company;John Glen;Richard Maibaum;Roger Moore;Christopher Walken;Tanya Roberts;37,8190603;-122,4781232
A View to a Kill;1985;San Francisco Embarcadero Freeway;Embarcadero Freeway, which was featured in the film, was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake);Metro-Goldwyn Mayer;MGM/UA Entertainment Company;John Glen;Richard Maibaum;Roger Moore;Christopher Walken;Tanya Roberts;37,7881524;-122,2512872
A View to a Kill;1985;San Francisco Potrero Hill;The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.;Metro-Goldwyn Mayer;MGM/UA Entertainment Company;John Glen;Richard Maibaum;Roger Moore;Christopher Walken;Tanya Roberts;37,7604929;-122,400869
A View to a Kill;1985;San Francisco City Hall;The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.;Metro-Goldwyn Mayer;MGM/UA Entertainment Company;John Glen;Richard Maibaum;Roger Moore;Christopher Walken;Tanya Roberts;37,7792597;-122,4192646
A View to a Kill;1985;San Francisco Chinatown;First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.;Metro-Goldwyn Mayer;MGM/UA Entertainment Company;John Glen;Richard Maibaum;Roger Moore;Christopher Walken;Tanya Roberts;37,7941378;-122,4077914
A View to a Kill;1985;San Francisco Burger Island (901 3rd Street, China Basin);;Metro-Goldwyn Mayer;MGM/UA Entertainment Company;John Glen;Richard Maibaum;Roger Moore;Christopher Walken;Tanya Roberts;37,772001;-122,3897199
A View to a Kill;1985;San Francisco Van Ness Avenue;;Metro-Goldwyn Mayer;MGM/UA Entertainment Company;John Glen;Richard Maibaum;Roger Moore;Christopher Walken;Tanya Roberts;37,7917022;-122,4226899
A View to a Kill;1985;San Francisco Taylor and Jefferson Streets (Fisherman's Wharf);;Metro-Goldwyn Mayer;MGM/UA Entertainment Company;John Glen;Richard Maibaum;Roger Moore;Christopher Walken;Tanya Roberts;37,8082214;-122,4158081
About a Boy;2014;San Francisco Broderick from Fulton to McAlister;;NBC Studios;National Broadcasting Company;Mark J. Kunerth;Jason Katims;David Walton;Minnie Driver;;37,7878648;-122,4421325
About a Boy;2014;San Francisco Crissy Field;;NBC Studios;National Broadcasting Company;Mark J. Kunerth;Jason Katims;David Walton;Minnie Driver;;37,8040257;-122,4650165
About a Boy;2014;San Francisco Powell from Bush and Sutter;;NBC Studios;National Broadcasting Company;Mark J. Kunerth;Jason Katims;David Walton;Minnie Driver;;37,7891189;-122,4084207
After the Thin Man;1936;San Francisco Coit Tower;The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.;Metro-Goldwyn Mayer;Metro-Goldwyn Mayer;W.S. Van Dyke;Frances Goodrich;William Powell;Myrna Loy;James Stewart;37,8023949;-122,4058222
Age of Adaline;2015;San Francisco Pier 50- end of the pier;;Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment;;Lee Toland Krieger;J. Mills Goodloe;Blake Lively;Harrison Ford;Ellen Burstyn;37,7739758;-122,3871448
Age of Adaline;2015;San Francisco California @ Montgomery;;Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment;;Lee Toland Krieger;J. Mills Goodloe;Blake Lively;Harrison Ford;Ellen Burstyn;37,7975865;-122,4037614
Age of Adaline;2015;San Francisco Montgomery/Green;;Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment;;Lee Toland Krieger;J. Mills Goodloe;Blake Lively;Harrison Ford;Ellen Burstyn;37,797867;-122,4038234
Age of Adaline;2015;San Francisco Driving various SF Streets;;Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment;;Lee Toland Krieger;J. Mills Goodloe;Blake Lively;Harrison Ford;Ellen Burstyn;37,7994735;-122,4370363
Age of Adaline;2015;San Francisco Plate Shots SF streets various;;Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment;;Lee Toland Krieger;J. Mills Goodloe;Blake Lively;Harrison Ford;Ellen Burstyn;37,8001218;-122,4396871
Alcatraz;2012;San Francisco Filbert St. from Jones to Mason;;Bonanza Productions Inc.;Warner Bros. Television;J.J. Abrams;Steven Lilien;Sarah Jones;Jorge Garcia;;37,7958565;-122,4116509
Alcatraz;2012;San Francisco Leavenworth from Filbert & Francisco St;;Bonanza Productions Inc.;Warner Bros. Television;J.J. Abrams;Steven Lilien;Sarah Jones;Jorge Garcia;;37,7995077;-122,4241083
Alcatraz;2012;San Francisco Chestnut St. from Larkin to Columbus;;Bonanza Productions Inc.;Warner Bros. Television;J.J. Abrams;Steven Lilien;Sarah Jones;Jorge Garcia;;37,7749295;-122,4194155
Alcatraz;2012;San Francisco Francisco St from Larkin to Polk;;Bonanza Productions Inc.;Warner Bros. Television;J.J. Abrams;Steven Lilien;Sarah Jones;Jorge Garcia;;37,7910734;-122,419242
Alcatraz;2012;San Francisco Broadway from Mason to Taylor;;Bonanza Productions Inc.;Warner Bros. Television;J.J. Abrams;Steven Lilien;Sarah Jones;Jorge Garcia;;37,784691;-122,411287
Alcatraz;2012;San Francisco Taylor St. from Broadway to Filbert;;Bonanza Productions Inc.;Warner Bros. Television;J.J. Abrams;Steven Lilien;Sarah Jones;Jorge Garcia;;37,7995077;-122,4241083
Ant-Man;2015;San Francisco Broadway between Powell and Davis;Driving shots;PYM Particles Productions, LLC;Walt Disney Studios Motion Pictures;Peyton Reed;Gabriel Ferrari ;Michael Douglas;Paul Rudd;;37,796504;-122,4100932
Alexander's Ragtime Band;1938;San Francisco Cliff House (1090 Point Lobos Avenue);In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.;Twentieth Century Fox Film;Twentieth Century Fox Film;Henry King;Kathryn Scola;Tyrone Power;Alice Faye;Don Ameche;37,778507;-122,5139808
Alexander's Ragtime Band;1938;San Francisco San Francisco Bay;;Twentieth Century Fox Film;Twentieth Century Fox Film;Henry King;Kathryn Scola;Tyrone Power;Alice Faye;Don Ameche;37,7749295;-122,4194155
Alexander's Ragtime Band;1938;San Francisco Fairmont Hotel (950 Mason Street, Nob Hill);In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.;Twentieth Century Fox Film;Twentieth Century Fox Film;Henry King;Kathryn Scola;Tyrone Power;Alice Faye;Don Ameche;37,7923723;-122,4105611
All About Eve;1950;San Francisco Curran Theater (445 Geary Street);Called the Shubert Theatre in the film. ;Twentieth Century Fox Film;Twentieth Century Fox Film;Joseph L. Mankiewicz;Joseph L. Mankiewicz;Bette Davis;Anne Baxter;George Sanders;37,7869708;-122,4105671
American Graffiti;1973;San Francisco Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District);"This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd.";Universal Pictures;Universal Pictures';George Lucas;George Lucas;Richard Dreyfuss;Ron Howard;Paul Le Mat;37,7855915;-122,4211371
American Graffiti;1973;San Francisco 3355 Geary Blvd.;;Universal Pictures;Universal Pictures';George Lucas;George Lucas;Richard Dreyfuss;Ron Howard;Paul Le Mat;37,7811247;-122,4548393
American Yearbook;2004;San Francisco ;;All Planet Studios;N/A;Brian Ging;Brian Ging;Nick Tagas;Jon Carlo Alvarez;;37,7749295;-122,4194155
Americana;2015;San Francisco St. Francis Episcopal Church (399 San Fernando Way);;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,7303135;-122,4698163
Americana;2015;San Francisco Romolo Place @ Fresno St.;;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,7986013;-122,4063965
Americana;2015;San Francisco Palace of Fine Arts;;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,8029577;-122,4491929
Americana;2015;San Francisco John Shelley Drive John McLaren Park;;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,7221546;-122,4188879
Americana;2015;San Francisco Treasure Island;;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,8235515;-122,370648
Americana;2015;San Francisco The San Francisco School (300 Gavin St.);;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,7327817;-122,4113534
Americana;2015;San Francisco 33 Spruce St;;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,7903354;-122,4543759
Americana;2015;San Francisco Coi Restaurant (373 Broadway);;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,7980647;-122,4034273
Americana;2015;San Francisco Foreign Cinema (2534 Mission);;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,7564724;-122,4192824
Americana;2015;San Francisco Bernal Heights Park;;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,7433416;-122,4139925
Americana;2015;San Francisco Jackson St. at Spruce;;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,7899861;-122,4541352
Americana;2015;San Francisco 679 Madrid St;;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,7187545;-122,4346585
Americana;2015;San Francisco Roxie Theater (3117 16th St.);;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,7646581;-122,422429
Americana;2015;San Francisco Variety Preview Room (582 Market St.);;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,7894639;-122,401621
Americana;2015;San Francisco Laguna Honda Hospital;;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,748288;-122,4603171
Americana;2015;San Francisco 3232 Jackson Ave.;;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,790931;-122,448797
Americana;2015;San Francisco 20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs;;Sutro Films LLC;;Zachary Shedd;Zachary Shedd;Kelli Garner;Jack Davenport;Peter Coyote;37,7605602;-122,3875894
Another 48 Hours;1990;San Francisco ;;Eddie Murphy Productions;Paramount Pictures;Walter Hill;Walter Hill;Eddie Murphy;Nick Nolte;;37,7749295;-122,4194155
Ant-Man;2015;San Francisco Conzelman Rd at McCollough Rd and down Conzelman Rd.;Aerial shots;PYM Particles Productions, LLC;Walt Disney Studios Motion Pictures;Peyton Reed;Gabriel Ferrari ;Michael Douglas;Paul Rudd;;37,8337065;-122,4937375
Ant-Man;2015;San Francisco Lombard at Hyde;;PYM Particles Productions, LLC;Walt Disney Studios Motion Pictures;Peyton Reed;Gabriel Ferrari ;Michael Douglas;Paul Rudd;;37,8020045;-122,4196371
Ant-Man;2015;San Francisco 601 Buena Vista Ave West at Java St.;;PYM Particles Productions, LLC;Walt Disney Studios Motion Pictures;Peyton Reed;Gabriel Ferrari ;Michael Douglas;Paul Rudd;;37,7669436;-122,4437247
Ant-Man;2015;San Francisco Columbus between Bay and Washington;Driving shots;PYM Particles Productions, LLC;Walt Disney Studios Motion Pictures;Peyton Reed;Gabriel Ferrari ;Michael Douglas;Paul Rudd;;37,8008473;-122,4099791
Ant-Man;2015;San Francisco California between Kearney and Davis;Driving shots;PYM Particles Productions, LLC;Walt Disney Studios Motion Pictures;Peyton Reed;Gabriel Ferrari ;Michael Douglas;Paul Rudd;;37,7975592;-122,4054381
Ant-Man;2015;San Francisco Pine between Kearney and Davis;Driving shots;PYM Particles Productions, LLC;Walt Disney Studios Motion Pictures;Peyton Reed;Gabriel Ferrari ;Michael Douglas;Paul Rudd;;37,7894225;-122,4220832
Ant-Man;2015;San Francisco Market between Stuart and Van Ness;Driving shots;PYM Particles Productions, LLC;Walt Disney Studios Motion Pictures;Peyton Reed;Gabriel Ferrari ;Michael Douglas;Paul Rudd;;37,7841403;-122,420773
Ant-Man;2015;San Francisco Grant between Bush and Broadway;Driving shots;PYM Particles Productions, LLC;Walt Disney Studios Motion Pictures;Peyton Reed;Gabriel Ferrari ;Michael Douglas;Paul Rudd;;37,7897897;-122,4096207
Ant-Man;2015;San Francisco Intersection of Broadway at Kearney;Driving shots;PYM Particles Productions, LLC;Walt Disney Studios Motion Pictures;Peyton Reed;Gabriel Ferrari ;Michael Douglas;Paul Rudd;;37,7980203;-122,4055234
Ant-Man;2015;San Francisco Intersection of California at Polk;Driving shots;PYM Particles Productions, LLC;Walt Disney Studios Motion Pictures;Peyton Reed;Gabriel Ferrari ;Michael Douglas;Paul Rudd;;37,7905896;-122,4206988
Ant-Man;2015;San Francisco Treasure Island, Building #1, Ave of the Palms;Aerial and exterior shots;PYM Particles Productions, LLC;Walt Disney Studios Motion Pictures;Peyton Reed;Gabriel Ferrari ;Michael Douglas;Paul Rudd;;37,8172181;-122,3707037
Around the Fire;1998;San Francisco Ocean Beach;On Jan. 25, 1878, the King Philip ship crashed in Ocean Beach. Occasionally, the ship's wreckage may be found on the beach-- most recently it was seen in 2007.;Paradigm Studio;Ardustry Home Entertainment;John Jacobsen;John Comerford;Tara Reid;;;37,7593921;-122,510734
Attack of the Killer Tomatoes;1978;San Francisco Hyde Street Cable Car;SF Cable Cars are the only moving National Historical Landmark.;Four Square Productions;NAI Entertainment;John DeBello;John DeBello;David Miller;;;37,7847198;-122,4076676
Babies;2010;San Francisco ;;Canal+;Focus Features;Thomas Balmes;Thomas Balmes;Bayar;Hattie;;37,7749295;-122,4194155
Ballers;2017;San Francisco Fairmont Hotel (950 Mason Street, Nob Hill);;Chori Perros Productions, LLC;HBO;Julian Farino;Stephen Levinson;Dwayne Johnson;John David Washington;Omar Benson Miller;37,7923723;-122,4105611
Ballers;2017;San Francisco Embarcadero around Rincon Park;;Chori Perros Productions, LLC;HBO;Julian Farino;Stephen Levinson;Dwayne Johnson;John David Washington;Omar Benson Miller;37,7915675;-122,3899424
Ballers;2017;San Francisco San Remo Hotel (2237 Mason);;Chori Perros Productions, LLC;HBO;Julian Farino;Stephen Levinson;Dwayne Johnson;John David Washington;Omar Benson Miller;37,8042943;-122,413603
Ballers;2017;San Francisco Huntington Park (California & Taylor Streets, Nob Hill);;Chori Perros Productions, LLC;HBO;Julian Farino;Stephen Levinson;Dwayne Johnson;John David Washington;Omar Benson Miller;37,7921814;-122,4121737
Ballers;2017;San Francisco Driving around Taylor/Pacific/Leavenworth;;Chori Perros Productions, LLC;HBO;Julian Farino;Stephen Levinson;Dwayne Johnson;John David Washington;Omar Benson Miller;37,7956513;-122,4132947
Ballers;2017;San Francisco California and Jones St.;;Chori Perros Productions, LLC;HBO;Julian Farino;Stephen Levinson;Dwayne Johnson;John David Washington;Omar Benson Miller;37,7945714;-122,414764
Ballers;2017;San Francisco Another CafÇ¸, 1191 Pine St at Leavenworth;;Chori Perros Productions, LLC;HBO;Julian Farino;Stephen Levinson;Dwayne Johnson;John David Washington;Omar Benson Miller;37,7901035;-122,4153984
Barbary Coast;1935;San Francisco ;;The Samuel Goldwyn Company;United Artists;Howard Hawks;Ben Hecht;Mariam Hopkins;Edward G. Robinson;Joel McCrea;37,7749295;-122,4194155
Basic Instinct;1992;San Francisco Yerba Buena Center for the Arts;;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza;37,7856437;-122,4021904
Basic Instinct;1992;San Francisco Transbay Terminal (Mission Street at 1st Street);Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza;37,7891992;-122,3977006
Basic Instinct;1992;San Francisco Tosca CafÇ¸ (242 Columbus Avenue);;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza;37,7976266;-122,4058736
Basic Instinct;1992;San Francisco Steinhart Aquarium (California Academy of Sciences, Golden Gate Park);The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza;37,7698293;-122,466105
Basic Instinct;1992;San Francisco Raw Hide II (280 Seventh Street);;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza;37,7730614;-122,4032337
Basic Instinct;1992;San Francisco Pier 7 (The Embarcadero);;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza;37,8084799;-122,4118093
Basic Instinct;1992;San Francisco Kearney Street (Telegraph Hill);;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza;37,8016977;-122,4062152
Big Eyes;2014;San Francisco Nobles Alley;;Blink & Wink Productions;Weinstein Company;Tim Burton;Scott Alexander;Amy Adams;Krysten Ritter;Christoph Waltz;37,8009834;-122,407411
Basic Instinct;1992;San Francisco Hall of Justice (850 Bryant Street);;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza;37,775471;-122,4037169
Basic Instinct;1992;San Francisco 2930 Vallejo Street;;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza;37,7940738;-122,445618
Basic Instinct;1992;San Francisco Chinatown;First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza;37,7941378;-122,4077914
Basic Instinct;1992;San Francisco Gibb Street (Chinatown);;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza;37,7960309;-122,4044419
Basic Instinct;1992;San Francisco 1158-70 Montgomery Street;;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza;37,799987;-122,403972
Basic Instinct;1992;San Francisco 2104 Broadway;;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza;37,7949212;-122,4320907
Beaches;1988;San Francisco ;;Silver Screen Partners IV;Columbia Broadcasting System;Garry Marshall;Mary Agnes Donoghue;Bette Midler;Barbara Hershey;John Heard;37,7749295;-122,4194155
Beautiful Boy;2018;San Francisco Divisadero between Broadway and Greenwich;;Big Indie Pictures;Amazon Studios;Felix van Groeningen;Luke Davies;Steve Carell;Timothee Chalamet;Maura Tierney;37,798966;-122,4378411
Beautiful Boy;2018;San Francisco Ohloff Recovery Center (601 Steiner St);;Big Indie Pictures;Amazon Studios;Felix van Groeningen;Luke Davies;Steve Carell;Timothee Chalamet;Maura Tierney;37,7748567;-122,4330105
Beautiful Boy;2018;San Francisco Haight at Masonic;;Big Indie Pictures;Amazon Studios;Felix van Groeningen;Luke Davies;Steve Carell;Timothee Chalamet;Maura Tierney;37,7702198;-122,4453661
Beautiful Boy;2018;San Francisco Tenderloin Neighborhood;;Big Indie Pictures;Amazon Studios;Felix van Groeningen;Luke Davies;Steve Carell;Timothee Chalamet;Maura Tierney;37,7846598;-122,4145058
Beautiful Boy;2018;San Francisco Olympic Flame CafÇ¸, 555 Geary St;;Big Indie Pictures;Amazon Studios;Felix van Groeningen;Luke Davies;Steve Carell;Timothee Chalamet;Maura Tierney;37,786733;-122,4124366
Beautiful Boy;2018;San Francisco 18th St at San Bruno Ave.;;Big Indie Pictures;Amazon Studios;Felix van Groeningen;Luke Davies;Steve Carell;Timothee Chalamet;Maura Tierney;37,7620697;-122,4052339
Beautiful Boy;2018;San Francisco Wisconsin between 19th and 20th St;;Big Indie Pictures;Amazon Studios;Felix van Groeningen;Luke Davies;Steve Carell;Timothee Chalamet;Maura Tierney;37,7592963;-122,3991631
Bedazzled;2000;San Francisco 1155 Filbert Street at Hyde;;Twentieth Century Fox Film;Twentieth Century Fox Film;Harold Ramis;Harold Ramis;Brendan Fraser;Elizabeth Hurley;;37,800137;-122,4192673
